iter	Passed	Remaining
402	11738	17389
403	11766	17358
404	11804	17342
405	11833	17313
406	11867	17290
407	11911	17283
408	11947	17263
409	11986	17249
410	12017	17221
411	12053	17201
412	12088	17181
413	12122	17158
414	12149	17125
415	12177	17096
416	12207	17067
417	12232	17031
418	12259	16999
419	12289	16971
420	12321	16945
421	12357	16925
422	12385	16895
423	12410	16859
424	12431	16819
425	12457	16786
426	12497	16770
427	12523	16737
428	12558	16715
429	12600	16702
430	12634	16680
431	12664	16651
432	12698	16628
433	12724	16595
434	12761	16575
435	12804	16563
436	12836	16537
437	12875	16521
438	12908	16496
439	12936	16465
440	12975	16447
441	13002	16415
442	13031	16385
443	13063	16359
444	13097	16335
445	13145	16329
446	13173	16297
447	13202	16266
448	13237	16245
449	13267	16215
450	13294	16183
451	13323	16152
452	13359	16131
453	13392	16106
454	13419	16074
455	13452	16048
456	13480	16017
457	13505	15983
458	13532	15950
459	13566	15926
460	13594	15894
461	13623	15865
462	13660	15843
463	13683	15806
464	13715	15779
465	13741	15747
466	13766	15712
467	13798	15685
468	13822	15650
469	13855	15624
470	13880	15590
471	13911	15562
472	13944	15536
473	13978	15512
474	14011	15486
475	14037	15452
476	14066	15422
477	14093	15391
478	14114	15352
479	14138	15316
480	14166	15285
481	14197	15257
482	14227	15228
483	14253	15195
484	14279	15163
485	14307	15131
486	14337	15103
487	14366	15072
488	14392	15040
489	14420	15008
490	14444	14974
491	14469	14939
492	14494	14906
493	14524	14877
494	14549	14843
495	14578	14813
496	14604	14781
497	14644	14761
498	14672	14731
499	14702	14702
500	14733	14674
501	14760	14642
502	14790	14614
503	14823	14588
504	14854	14560
505	14877	14524
506	14908	14496
507	14941	14471
508	14971	14442
509	15004	14415
510	15034	14387
511	15071	14364
512	15098	14332
513	15128	14304
514	15164	14280
515	15196	14254
516	15226	14225
517	15255	14195
518	15288	14169
519	15318	14140
520	15343	14106
521	15368	14073
522	15397	14042
523	15431	14017
524	15460	13988
525	15490	13959
526	15516	13926
527	15543	13895
528	15570	13863
529	15602	13836
530	15627	13803
531	15656	13773
532	15693	13750
533	15725	13723
534	15752	13691
535	15786	13665
536	15814	13635
537	15845	13607
538	15879	13581
539	15903	13547
540	15930	13515
541	15974	13498
542	16007	13472
543	16039	13444
544	16073	13419
545	16101	13388
546	16131	13359
547	16157	13327
548	16188	13298
549	16218	13269
550	16251	13242
551	16282	13214
552	16312	13185
553	16337	13152
554	16369	13125
555	16397	13094
556	16423	13062
557	16455	13034
558	16487	13006
559	16518	12978
560	16550	12951
561	16587	12927
562	16614	12895
563	16644	12867
564	16672	12836
565	16700	12805
566	16730	12776
567	16764	12750
568	16786	12715
569	16811	12682
570	16840	12652
571	16868	12622
572	16897	12592
573	16925	12561
574	16963	12538
575	17003	12516
576	17032	12486
577	17065	12459
578	17098	12432
579	17121	12398
580	17150	12368
581	17176	12336
582	17215	12313
583	17243	12283
584	17271	12252
585	17297	12220
586	17326	12190
587	17351	12158
588	17387	12132
589	17413	12100
590	17435	12066
591	17459	12032
592	17489	12003
593	17516	11972
594	17546	11943
595	17567	11908
596	17593	11876
597	17612	11839
598	17637	11807
599	17660	11773
600	17680	11738
601	17714	11711
602	17749	11685
603	17774	11653
604	17798	11620
605	17826	11590
606	17855	11560
607	17879	11527
608	17911	11499
609	17936	11467
610	17971	11441
611	18003	11413
612	18029	11382
613	18057	11351
614	18089	11324
615	18113	11291
616	18141	11261
617	18168	11230
618	18206	11206
619	18223	11169
620	18251	11138
621	18278	11108
622	18307	11078
623	18334	11047
624	18368	11021
625	18407	10997
626	18446	10973
627	18484	10949
628	18511	10918
629	18540	10888
630	18566	10857
631	18598	10829
632	18637	10805
633	18669	10777
634	18700	10749
635	18728	10718
636	18760	10690
637	18789	10660
638	18819	10631
639	18847	10601
640	18881	10574
641	18905	10542
642	18931	10510
643	18953	10477
644	18973	10442
645	19002	10413
646	19034	10384
647	19070	10359
648	19101	10330
649	19132	10302
650	19165	10274
651	19196	10246
652	19238	10223
653	19266	10193
654	19296	10163
655	19322	10132
656	19344	10099
657	19368	10066
658	19391	10034
659	19424	10006
660	19453	9977
661	19479	9945
662	19500	9911
663	19530	9883
664	19557	9852
665	19586	9822
666	19613	9791
667	19641	9761
668	19664	9729
669	19692	9699
670	19737	9677
671	19764	9646
672	19797	9619
673	19831	9592
674	19854	9559
675	19884	9530
676	19906	9497
677	19929	9465
678	19964	9438
679	19989	9406
680	20026	9380
681	20054	9350
682	20078	9319
683	20113	9292
684	20147	9264
685	20175	9234
686	20206	9206
687	20237	9177
688	20273	9151
689	20299	9120
690	20332	9092
691	20366	9064
692	20393	9034
693	20424	9005
694	20458	8977
695	20486	8948
696	20518	8919
697	20545	8889
698	20577	8860
699	20610	8833
700	20641	8804
701	20665	8772
702	20691	8741
703	20719	8711
704	20750	8682
705	20778	8653
706	20816	8626
707	20848	8598
708	20873	8567
709	20899	8536
710	20927	8506
711	20957	8477
712	20987	8448
713	21019	8419
714	21048	8389
715	21082	8362
716	21113	8333
717	21139	8302
718	21166	8272
719	21201	8245
720	21230	8215
721	21256	8184
722	21288	8156
723	21315	8125
724	21342	8095
725	21363	8062
726	21392	8033
727	21421	8003
728	21450	7974
729	21484	7946
730	21507	7914
731	21535	7884
732	21568	7856
733	21606	7830
734	21635	7800
735	21660	7769
736	21692	7741
737	21722	7711
738	21749	7681
739	21775	7650
740	21799	7619
741	21829	7590
742	21861	7561
743	21893	7533
744	21921	7503
745	21941	7470
746	21966	7439
747	21996	7410
748	22021	7379
749	22049	7349
750	22076	7319
751	22104	7289
752	22132	7259
753	22157	7229
754	22179	7197
755	22203	7166
756	22228	7135
757	22253	7104
758	22277	7073
759	22301	7042
760	22321	7010
761	22355	6982
762	22383	6952
763	22411	6922
764	22435	6891
765	22459	6861
766	22485	6830
767	22507	6799
768	22524	6766
769	22553	6736
770	22583	6707
771	22611	6677
772	22635	6647
773	22661	6616
774	22689	6587
775	22727	6560
776	22755	6530
777	22790	6503
778	22816	6473
779	22845	6443
780	22868	6412
781	22899	6383
782	22928	6354
783	22968	6328
784	23002	6299
785	23037	6272
786	23071	6244
787	23102	6215
788	23133	6186
789	23164	6157
790	23196	6129
791	23227	6100
792	23252	6069
793	23278	6039
794	23307	6010
795	23336	5980
796	23362	5950
797	23394	5921
798	23419	5891
799	23451	5862
800	23477	5832
801	23506	5803
