iter	MAE
264	0.6169430056
265	0.6126280058
266	0.6115958633
267	0.6093066058
268	0.6084159802
269	0.6073598861
270	0.6051338696
271	0.6035253542
272	0.6029252664
273	0.6006915626
274	0.5998556971
275	0.5983138961
276	0.5967143555
277	0.5936467451
278	0.5889476702
279	0.5861067892
280	0.5846578144
281	0.5837884357
282	0.5827967342
283	0.5802424485
284	0.5778796695
285	0.5757417984
286	0.5743504564
287	0.5718545909
288	0.5705597105
289	0.5692066963
290	0.5673069501
291	0.5656399126
292	0.5646465696
293	0.5632604237
294	0.5627714429
295	0.562448565
296	0.5614273459
297	0.5604802888
298	0.5569509683
299	0.555678991
300	0.5549457319
301	0.5539729908
302	0.5520551794
303	0.5511880275
304	0.5494420684
305	0.5478384104
306	0.5468864864
307	0.5451333499
308	0.5442157711
309	0.5432992702
310	0.5425914817
311	0.5405760306
312	0.5392316422
313	0.5363810317
314	0.5348138575
315	0.5341999746
316	0.533876892
317	0.5323266766
318	0.5309046726
319	0.5289144648
320	0.5279403822
321	0.5263850406
322	0.5240231217
323	0.5227321995
324	0.5213804118
325	0.5184503532
326	0.5180489436
327	0.5159359781
328	0.5156338456
329	0.5140149437
330	0.5136534612
331	0.5121088478
332	0.5116741344
333	0.5090472449
334	0.5078599906
335	0.5073413918
336	0.5062150858
337	0.5051421639
338	0.5047960769
339	0.5026486547
340	0.5005400141
341	0.4994730784
342	0.4984021322
343	0.4965117855
344	0.4957975287
345	0.4950603458
346	0.4941933767
347	0.4934108886
348	0.4920086419
349	0.4896612294
350	0.4890505032
351	0.4876912557
352	0.4871380339
353	0.4864545803
354	0.4851858168
355	0.4847685291
356	0.4841571378
357	0.4826439711
358	0.4812861508
359	0.4808452154
360	0.4796741033
361	0.4774816945
362	0.4768507479
363	0.4766025991
364	0.4759364022
365	0.4754958311
366	0.4751769413
367	0.4748440348
368	0.4735289694
369	0.4718852441
370	0.4713484971
371	0.4707620738
372	0.469877587
373	0.4685194861
374	0.466781608
375	0.4664785893
376	0.4656218463
377	0.4651824153
378	0.4633820749
379	0.4627778345
380	0.4619956991
381	0.4614307853
382	0.4602781367
383	0.4594720721
384	0.458980139
385	0.4575891127
386	0.456840507
387	0.4563574133
388	0.4554517525
389	0.4545702437
390	0.4534515629
391	0.4530039286
392	0.452098328
393	0.4512795616
394	0.4505172856
395	0.4494238052
396	0.4490848038
397	0.448322591
398	0.4475369778
399	0.4469721805
400	0.4466698722
401	0.4454022412
402	0.4447776698
403	0.4427470835
404	0.4423436341
405	0.4418680833
406	0.4412275983
407	0.4408186517
408	0.439758921
409	0.4393597565
410	0.4381897317
411	0.4371442125
412	0.435786646
413	0.434908433
414	0.4345790101
415	0.433268425
416	0.4329602385
417	0.4324399623
418	0.4318636388
419	0.4301201732
420	0.4288107775
421	0.4280296021
422	0.4269480658
423	0.4261889649
424	0.4246174893
425	0.4241399779
426	0.4225729454
427	0.4222954995
428	0.42170131
429	0.4209475114
430	0.420340662
431	0.4199307755
432	0.4196662011
433	0.4191123509
434	0.4184115176
435	0.4179847391
436	0.4175310827
437	0.4171211917
438	0.4167220546
439	0.4164065445
440	0.4150516352
441	0.4144146606
442	0.4137195334
443	0.411459752
444	0.4102904539
445	0.4098591216
446	0.4093505378
447	0.4076478754
448	0.4066604222
449	0.4061605619
450	0.4057160614
451	0.4054802295
452	0.4040040283
453	0.4029744633
454	0.4015183525
455	0.401038546
456	0.4007168864
457	0.3999972428
458	0.3997999861
459	0.3994428888
460	0.3990166339
461	0.3988413231
462	0.3973528614
463	0.3968462532
464	0.3963820988
465	0.395644907
466	0.3942761959
467	0.3936073118
468	0.3922753603
469	0.3918401801
470	0.3912343264
471	0.3906811723
472	0.3900224627
473	0.3897929076
474	0.3892225058
475	0.3887930661
476	0.387529149
477	0.3873074401
478	0.3867142488
479	0.3861320637
480	0.3854425534
481	0.3853177011
482	0.3847550859
483	0.3835389112
484	0.383270454
485	0.3824077725
486	0.3821092767
487	0.3820029032
488	0.3814906382
489	0.3813703513
490	0.3812178692
491	0.3805902987
492	0.3803590267
493	0.3796701601
494	0.3793764591
495	0.3790246588
496	0.3784088403
497	0.378270615
498	0.3781549454
499	0.3775643064
500	0.3771616989
501	0.3765128663
502	0.3751828095
503	0.3741503578
504	0.373904364
505	0.3734429379
506	0.3731312711
507	0.3727910029
508	0.372240176
509	0.3718091872
510	0.3710143313
511	0.3706543366
512	0.3703761573
513	0.3698592198
514	0.3694005361
515	0.3674946719
516	0.3668920987
517	0.3665826399
518	0.3661326783
519	0.3658441009
520	0.3655659057
521	0.3648847128
522	0.3646662737
523	0.3635086688
524	0.3631864376
525	0.3627458143
526	0.3619104297
527	0.3606760203
528	0.3603419838
529	0.3594913168
530	0.3591060785
531	0.3589633557
532	0.3574823509
533	0.3567514491
534	0.3555172377
535	0.3553003928
536	0.3547685423
537	0.3541213462
538	0.3536427837
539	0.3526202889
540	0.3521358006
541	0.351501829
542	0.3511770056
543	0.3505725526
544	0.3501997698
545	0.3496442508
546	0.3491233634
547	0.3486542275
548	0.347645684
549	0.3472276836
550	0.3464370452
551	0.3450808505
552	0.3448919685
553	0.3445596826
554	0.3438088357
555	0.3431400095
556	0.3428912954
557	0.3423548695
558	0.3413625807
559	0.3412200347
560	0.3404059672
561	0.3401537868
562	0.3395132414
563	0.3394003648
564	0.3391266062
565	0.3386953307
566	0.3386199249
567	0.3378969177
568	0.3374615935
569	0.3371314804
570	0.3364444134
571	0.3361471619
572	0.3356751306
573	0.3354974102
574	0.3353887258
575	0.3351960292
576	0.334947396
577	0.3341210074
578	0.333465267
579	0.3331975067
580	0.3324575771
581	0.3320801132
582	0.3317212037
583	0.3315237891
584	0.3307419809
585	0.3303931652
586	0.3293742753
587	0.329143703
588	0.3281205977
589	0.327247799
590	0.3263312561
591	0.3254127778
592	0.3242182756
593	0.3239261368
594	0.3236513152
595	0.3231149948
596	0.3228027072
597	0.3216927602
598	0.3210273386
599	0.3207220475
600	0.3199542737
601	0.319796298
602	0.3196032124
603	0.3189637159
604	0.3174041056
605	0.3171562857
606	0.3170433912
607	0.3160873309
608	0.3157293823
609	0.3150472589
610	0.31491975
611	0.3143610646
612	0.3138899654
613	0.3135408953
614	0.3129703777
615	0.3127818628
616	0.312704785
617	0.3126311166
618	0.3122538537
619	0.3112423997
620	0.3108973616
621	0.3108198225
622	0.3105014332
623	0.3104015052
624	0.3092812303
625	0.308690552
626	0.3085347866
627	0.3083676259
628	0.3078345306
629	0.3075416921
630	0.3071217181
631	0.3067297101
632	0.3062339908
633	0.3060816114
634	0.3059113911
635	0.3052342115
636	0.3049279269
637	0.3046740004
638	0.3045362965
639	0.3037514338
640	0.303605223
641	0.3034930108
642	0.3032700241
643	0.302988816
644	0.3029358896
645	0.3026293083
646	0.3024716231
647	0.3021850714
648	0.3020373893
649	0.3017793254
650	0.3014441038
651	0.3011225754
652	0.3008282853
653	0.3002838961
654	0.2997511813
655	0.2994043639
656	0.2988232086
657	0.2987590302
658	0.2982664194
659	0.2974912238
660	0.297022749
661	0.2967556461
662	0.2960509186
663	0.2957850698
664	0.2945746775
665	0.2943327015
666	0.2939546235
667	0.2938115805
668	0.2936856502
669	0.2934945868
670	0.2931742528
671	0.2925654787
672	0.2918518717
673	0.2912867246
674	0.2911709745
675	0.2910961057
676	0.2901722638
677	0.2897310918
678	0.2891097147
679	0.2889409936
680	0.2886818115
681	0.2883673773
682	0.2878278893
683	0.2869647463
684	0.2862454811
685	0.28575161
686	0.2849455741
687	0.2846024293
688	0.2842004455
689	0.2841460933
690	0.2835242555
691	0.2830508458
692	0.2829780517
693	0.2823471382
694	0.2818228909
695	0.2808812
696	0.2807057803
697	0.280374759
698	0.2793034026
699	0.2785666471
700	0.2782092082
701	0.2780211815
702	0.2775528078
703	0.2771718884
704	0.2764817912
705	0.2758699843
706	0.2754744826
707	0.2752285022
708	0.2748561051
709	0.2741589596
710	0.2740148786
711	0.2736630365
712	0.2730728091
713	0.2724577375
714	0.2720094906
715	0.2716448081
716	0.2715230105
717	0.2712060213
718	0.2708839942
719	0.27054532
720	0.2702069162
721	0.2699018403
722	0.2698015936
723	0.2687560949
724	0.2677389651
725	0.2673164901
726	0.267139909
727	0.2668236772
728	0.2666670619
729	0.2665077159
730	0.2660485329
731	0.2658484956
732	0.2656819191
733	0.2653194452
734	0.2648211298
735	0.2645371881
736	0.2636904837
737	0.2634504509
738	0.2630774901
739	0.2629089871
740	0.2628047978
741	0.2627309865
742	0.2622625933
743	0.262044241
744	0.2610560383
745	0.2599461074
746	0.2596090658
747	0.2591433787
748	0.2589590005
749	0.2587064262
750	0.2585389836
751	0.258110986
752	0.2565489462
753	0.256365259
754	0.2559378069
755	0.2549216193
756	0.2535938168
757	0.2531042531
758	0.2526944175
759	0.2525132114
760	0.2518326259
761	0.2515782473
762	0.2513202823
763	0.2512141948
764	0.2509259795
765	0.2506818477
766	0.2504951375
767	0.2501089794
768	0.2496244612
769	0.2493972267
770	0.2486410461
771	0.2484498855
772	0.2479475278
773	0.2475877905
774	0.2474141392
775	0.2471647956
776	0.2462106038
777	0.2457330997
778	0.2455309516
779	0.2451504955
780	0.2451123663
781	0.2448960396
782	0.2447913677
783	0.2447039014
784	0.244628906
785	0.2444977037
786	0.2443446034
787	0.244014167
788	0.243619582
789	0.2428786249
790	0.2426333587
791	0.2425223338
792	0.2417465883
793	0.2413454747
794	0.24128065
795	0.2412214947
796	0.2410051395
797	0.2406544285
798	0.2402979694
799	0.2401800748
800	0.2397540856
801	0.2396749495
802	0.2389769113
803	0.2387744283
804	0.2382511204
805	0.238187842
806	0.2374263994
807	0.2367859235
808	0.2364297084
809	0.2363803524
810	0.236074159
811	0.2359051936
812	0.2356767728
813	0.2356026018
814	0.2354677602
815	0.2351637593
816	0.2350977295
817	0.2350338929
818	0.2344401954
819	0.2338463889
820	0.2338331165
821	0.2337313393
822	0.2336042197
823	0.2334526998
824	0.2330349783
825	0.2325129514
826	0.2323869303
827	0.2323352153
828	0.2322943561
829	0.2321813946
830	0.2321229303
831	0.2317011507
832	0.2314520315
833	0.2307048494
834	0.2305633476
835	0.2301053769
836	0.2297306211
837	0.2296893164
838	0.229660105
839	0.2294343531
840	0.2294103717
841	0.2290294708
842	0.2289744344
843	0.2287426159
844	0.2286264175
845	0.2279874784
846	0.2278013762
847	0.2275153869
848	0.2274336367
849	0.2272643331
850	0.227149881
851	0.2267930556
852	0.226565867
853	0.2265200549
854	0.2261948352
855	0.2255764725
856	0.2248473318
857	0.2232351491
858	0.2229830806
859	0.2226370991
860	0.2219028961
861	0.2215200903
862	0.221051852
863	0.2209683051
864	0.2208154982
865	0.2204012165
866	0.220019694
867	0.2198680441
868	0.2198002672
869	0.2191314886
870	0.2187729001
871	0.2186428292
872	0.2181026145
873	0.2176358606
874	0.216972791
875	0.2165635461
876	0.2163468376
877	0.2156890476
878	0.2151293529
879	0.2146919189
880	0.2142440148
881	0.2133244767
882	0.213181372
883	0.2125315075
884	0.2124201637
885	0.2118390241
886	0.2112784947
887	0.2108979027
888	0.2104776997
889	0.2103257726
890	0.2100466963
891	0.2097345885
892	0.2094118763
893	0.209170747
894	0.2090417139
895	0.2087662546
896	0.2086238042
897	0.2084546655
898	0.2080727462
899	0.2080108125
900	0.207826774
901	0.2074603669
902	0.2073492429
903	0.2072211179
904	0.2072031249
905	0.2064285606
906	0.2062663664
907	0.2061078908
908	0.2059347758
909	0.2058899368
910	0.2051958157
911	0.2048075325
912	0.2046466943
913	0.2041373399
914	0.2040216007
915	0.2038758893
916	0.202506646
917	0.2023839385
918	0.2018153779
919	0.2015181768
920	0.2014251435
921	0.2011085162
922	0.2010465295
923	0.2006816074
924	0.2003333968
925	0.2002330652
926	0.1997116755
927	0.1995502935
928	0.1991874186
929	0.1983692503
930	0.1982718181
931	0.1981615866
932	0.1979744685
933	0.1978164609
934	0.1975862499
935	0.1974333727
936	0.1971736061
937	0.1970904821
938	0.1961123281
939	0.1956199608
940	0.195269773
941	0.1951880386
942	0.1951594112
943	0.19510224
944	0.1950429673
945	0.1949057392
946	0.1948723228
947	0.194466733
948	0.1944251089
949	0.1943390639
950	0.1940830687
951	0.1939604541
952	0.1936882225
953	0.1935964291
954	0.1935659199
955	0.1935042541
956	0.1932005791
957	0.1930802815
958	0.1926899386
959	0.1925221616
960	0.1924283724
961	0.1923756763
962	0.192200943
963	0.1920859512
964	0.1920226854
965	0.1919291152
966	0.1918643836
967	0.1915677029
968	0.1912097595
969	0.1909794668
970	0.190771239
971	0.1904042202
972	0.1902990182
973	0.1898594802
974	0.1895426034
975	0.1894712483
976	0.1893543319
977	0.1892409177
978	0.1889176208
979	0.188758778
980	0.1884990818
981	0.1882876338
982	0.1878810765
983	0.1875535474
984	0.1875295427
985	0.187507108
986	0.1871496414
987	0.1870947481
988	0.186965581
989	0.1868669521
990	0.1867784781
991	0.18650656
992	0.1862946239
993	0.1861497254
994	0.1861120778
995	0.1855767657
996	0.1853975322
997	0.1850171296
998	0.1847426423
999	0.1845026291
